群類代號,群類名稱,100學年度,101學年度,102學年度,103學年度,104學年度,105學年度,106學年度,107學年度,108學年度,109學年度,110學年度,111學年度,112學年度,113學年度,114學年度
01,機械群,11648,10955,10106,9789,9499,9354,8814,9213,9175,8317,7812,7154,6601,6357,6265
02,動力機械群,4357,4379,4523,4171,4325,4657,4319,5044,5110,4363,4008,3321,3082,2957,2851
03,電機與電子群電機類,4675,4125,4926,4786,4479,4226,4198,4658,4645,4519,3750,4374,4344,4136,4125
04,電機與電子群資電類,15344,13685,13081,12806,11602,9813,9280,9659,9395,7862,7223,6545,6021,5576,5651
05,化工群,1868,1868,1717,1640,1648,1591,1508,1475,1527,1345,1360,1285,1235,1305,1355
06,土木與建築群,2779,2635,2695,2684,2616,2539,2426,2312,2284,2147,1953,1863,1797,1792,1771
07,設計群,11837,12259,12569,12741,12715,11799,11432,11446,10618,8890,8107,7398,7612,7363,7286
08,工程與管理類,2104,2011,1434,1165,1053,854,663,660,419,482,425,365,312,289,275
09,商業與管理群,41240,39304,34145,32637,29028,24326,20565,20876,19527,17137,16393,14905,14253,13670,12928
10,衛生與護理類,3719,3876,3820,3696,3624,3366,3522,3618,3689,3467,3425,2779,2400,2083,1918
11,食品群,1987,2132,1912,1876,1919,1787,1529,1658,1625,1440,1512,1361,1306,1241,1156
12,家政群幼保類,2845,2631,2153,2213,2157,2184,1946,1924,1900,1682,1588,1489,1549,1348,1332
13,家政群生活應用類,7799,8201,7355,6933,6477,5673,5108,5331,5140,4280,4010,3566,3303,2852,2739
14,農業群,2316,2466,2275,2308,2322,2400,2290,2120,2152,1889,1816,1809,1729,1709,1703
15,外語群英語類,6969,6912,4854,4664,4786,4475,4368,4409,4343,3637,3234,2665,2501,2184,1965
16,外語群日語類,2473,2413,1574,1472,1351,1341,1507,1543,1502,1161,987,914,773,632,477
17,餐旅群,26498,27693,27011,26654,27090,24362,22656,21978,20347,16486,14210,12305,10411,9127,8324
18,海事群,354,308,403,402,367,308,284,289,264,235,241,208,198,185,176
19,水產群,364,376,297,317,302,300,267,300,272,285,256,233,215,204,198
20,藝術群影視類,869,861,896,1064,1168,1253,1497,1625,1628,1494,1661,1420,1276,1169,897
All,全體總報名人數,159243,155733,146047,142573,136340,123296,113469,116138,110690,95135,88310,79292,73981,69361,66311